maker,year,name,IPDB URL
Bally,1/1932,Ballyhoo,https://www.ipdb.org/machine.cgi?id=4817
Bally,1/1937,Carom,https://www.ipdb.org/machine.cgi?id=458
United,3/1945,Trade Winds,https://www.ipdb.org/machine.cgi?id=2620
Chicago Coin,10/1947,Baseball,https://www.ipdb.org/machine.cgi?id=189
Gottlieb,4/1956,Derby Day,https://www.ipdb.org/machine.cgi?id=664
Gottlieb,7/1958,Roto Pool,https://www.ipdb.org/machine.cgi?id=2022
Williams,12/1965,Teacher's Pet,https://www.ipdb.org/machine.cgi?id=2506
Bally,3/1976,Hokus Pokus,https://www.ipdb.org/machine.cgi?id=1206
GamePlan,4/1979,Star Trip,https://www.ipdb.org/machine.cgi?id=3605
Bally,4/1979,Star Trek,https://www.ipdb.org/machine.cgi?id=2355
Gottlieb,10/1979,The Hulk,https://www.ipdb.org/machine.cgi?id=1266
Williams,12/1979,Gorgar,https://www.ipdb.org/machine.cgi?id=1062
Williams,6/1980,Blackout,https://www.ipdb.org/machine.cgi?id=317
Williams,12/1981,Hyperball,https://www.ipdb.org/machine.cgi?id=3169
Bally,8/1982,Eight Ball Deluxe Limited Edition,https://www.ipdb.org/machine.cgi?id=763
Williams,2/1992,The Getaway: High Speed II,https://www.ipdb.org/machine.cgi?id=1000
Williams,3/1992,The Addams Family,https://www.ipdb.org/machine.cgi?id=20
Stern,10/2021,Godzilla (Premium),https://www.ipdb.org/machine.cgi?id=6842
